method,k,n_used,auc
leave_k_out,2,62,0.6677350427350427
leave_k_out,2,62,0.6832432432432433
leave_k_out,2,62,0.5556756756756757
leave_k_out,2,62,0.6908108108108109
leave_k_out,2,62,0.782051282051282
leave_k_out,2,62,0.6648648648648648
leave_k_out,2,62,0.5989189189189189
leave_k_out,2,62,0.704059829059829
leave_k_out,2,62,0.631578947368421
leave_k_out,2,62,0.6805555555555556
leave_k_out,2,62,0.6691891891891891
leave_k_out,2,62,0.702991452991453
leave_k_out,2,62,0.6164529914529914
leave_k_out,2,62,0.5654054054054054
leave_k_out,2,62,0.6745945945945947
leave_k_out,2,62,0.6399572649572649
leave_k_out,2,62,0.6591880341880342
leave_k_out,2,62,0.75
leave_k_out,2,62,0.638888888888889
leave_k_out,2,62,0.6237837837837839
leave_k_out,2,62,0.6047008547008548
leave_k_out,2,62,0.6702702702702703
leave_k_out,2,62,0.653846153846154
leave_k_out,2,62,0.6778378378378378
leave_k_out,2,62,0.6025641025641025
leave_k_out,3,61,0.7142857142857143
leave_k_out,3,61,0.6711111111111112
leave_k_out,3,61,0.6944444444444445
leave_k_out,3,61,0.5675675675675675
leave_k_out,3,61,0.6744444444444445
leave_k_out,3,61,0.6483516483516484
leave_k_out,3,61,0.61
leave_k_out,3,61,0.6538461538461539
leave_k_out,3,61,0.6241758241758242
leave_k_out,3,61,0.6632882882882883
leave_k_out,3,61,0.5868131868131867
leave_k_out,3,61,0.5855855855855856
leave_k_out,3,61,0.6945054945054945
leave_k_out,3,61,0.49
leave_k_out,3,61,0.6377777777777778
leave_k_out,3,61,0.667032967032967
leave_k_out,3,61,0.5763736263736263
leave_k_out,3,61,0.5538461538461539
leave_k_out,3,61,0.5855555555555556
leave_k_out,3,61,0.6317567567567567
leave_k_out,3,61,0.6922222222222222
leave_k_out,3,61,0.545045045045045
leave_k_out,3,61,0.5877777777777778
leave_k_out,3,61,0.6846846846846848
leave_k_out,3,61,0.6531531531531531
leave_k_out,4,60,0.5950226244343891
leave_k_out,4,60,0.6331018518518519
leave_k_out,4,60,0.6018099547511312
leave_k_out,4,60,0.6098707403055229
leave_k_out,4,60,0.6982857142857142
leave_k_out,4,60,0.6585648148148148
leave_k_out,4,60,0.5196759259259259
leave_k_out,4,60,0.6194285714285713
leave_k_out,4,60,0.6412037037037037
leave_k_out,4,60,0.5844907407407407
leave_k_out,4,60,0.569377990430622
leave_k_out,4,60,0.6990740740740741
leave_k_out,4,60,0.48958333333333326
leave_k_out,4,60,0.6122209165687427
leave_k_out,4,60,0.6470588235294117
leave_k_out,4,60,0.670138888888889
leave_k_out,4,60,0.6160000000000001
leave_k_out,4,60,0.7233796296296297
leave_k_out,4,60,0.6180555555555555
leave_k_out,4,60,0.7083333333333334
leave_k_out,4,60,0.6388888888888888
leave_k_out,4,60,0.5671296296296297
leave_k_out,4,60,0.5856481481481481
leave_k_out,4,60,0.6525714285714285
leave_k_out,4,60,0.6011428571428572
leave_k_out,5,59,0.6388888888888888
leave_k_out,5,59,0.611764705882353
leave_k_out,5,59,0.6011904761904762
leave_k_out,5,59,0.5583333333333333
leave_k_out,5,59,0.5821256038647343
leave_k_out,5,59,0.6294117647058823
leave_k_out,5,59,0.6654761904761904
leave_k_out,5,59,0.5688405797101449
leave_k_out,5,59,0.6214285714285716
leave_k_out,5,59,0.7107142857142857
leave_k_out,5,59,0.6714285714285714
leave_k_out,5,59,0.6445221445221445
leave_k_out,5,59,0.6847058823529412
leave_k_out,5,59,0.6606280193236714
leave_k_out,5,59,0.5531400966183575
leave_k_out,5,59,0.6714975845410628
leave_k_out,5,59,0.5471014492753622
leave_k_out,5,59,0.5678571428571428
leave_k_out,5,59,0.6702380952380953
leave_k_out,5,59,0.591764705882353
leave_k_out,5,59,0.5988235294117646
leave_k_out,5,59,0.5776470588235294
leave_k_out,5,59,0.607487922705314
leave_k_out,5,59,0.5640096618357487
leave_k_out,5,59,0.7059523809523809
leave_k_out,6,58,0.733173076923077
leave_k_out,6,58,0.6715686274509804
leave_k_out,6,58,0.6
leave_k_out,6,58,0.5467171717171717
leave_k_out,6,58,0.7184343434343434
leave_k_out,6,58,0.5933075933075933
leave_k_out,6,58,0.6906832298136646
leave_k_out,6,58,0.6546583850931676
leave_k_out,6,58,0.6544117647058824
leave_k_out,6,58,0.515527950310559
leave_k_out,6,58,0.5175757575757576
leave_k_out,6,58,0.6139705882352942
leave_k_out,6,58,0.5950310559006211
leave_k_out,6,58,0.6041666666666666
leave_k_out,6,58,0.6237745098039216
leave_k_out,6,58,0.5012254901960784
leave_k_out,6,58,0.6495098039215687
leave_k_out,6,58,0.5698529411764707
leave_k_out,6,58,0.5354037267080746
leave_k_out,6,58,0.6397058823529412
leave_k_out,6,58,0.5625
leave_k_out,6,58,0.7132352941176471
leave_k_out,6,58,0.6211180124223603
leave_k_out,6,58,0.6843434343434344
leave_k_out,6,58,0.5577639751552795
leave_k_out,7,57,0.680306905370844
leave_k_out,7,57,0.6534526854219949
leave_k_out,7,57,0.5454545454545453
leave_k_out,7,57,0.5345268542199488
leave_k_out,7,57,0.6237373737373738
leave_k_out,7,57,0.7162162162162161
leave_k_out,7,57,0.5242966751918158
leave_k_out,7,57,0.625
leave_k_out,7,57,0.6243386243386243
leave_k_out,7,57,0.6025974025974026
leave_k_out,7,57,0.6317135549872123
leave_k_out,7,57,0.6578282828282829
leave_k_out,7,57,0.5623376623376624
leave_k_out,7,57,0.6867007672634271
leave_k_out,7,57,0.6831168831168831
leave_k_out,7,57,0.5862499999999999
leave_k_out,7,57,0.5694444444444444
leave_k_out,7,57,0.6616161616161617
leave_k_out,7,57,0.6452020202020203
leave_k_out,7,57,0.6636363636363636
leave_k_out,7,57,0.5116883116883117
leave_k_out,7,57,0.5441558441558441
leave_k_out,7,57,0.6335978835978837
leave_k_out,7,57,0.5437500000000001
leave_k_out,7,57,0.5959595959595959
leave_k_out,8,56,0.6523437499999999
leave_k_out,8,56,0.5904761904761905
leave_k_out,8,56,0.7419786096256684
leave_k_out,8,56,0.6149732620320856
leave_k_out,8,56,0.5744400527009222
leave_k_out,8,56,0.6809895833333334
leave_k_out,8,56,0.6095238095238096
leave_k_out,8,56,0.6694444444444445
leave_k_out,8,56,0.622994652406417
leave_k_out,8,56,0.7654808959156785
leave_k_out,8,56,0.5227272727272727
leave_k_out,8,56,0.6408163265306123
leave_k_out,8,56,0.6245059288537549
leave_k_out,8,56,0.6060606060606061
leave_k_out,8,56,0.6029411764705882
leave_k_out,8,56,0.7767379679144385
leave_k_out,8,56,0.5377604166666667
leave_k_out,8,56,0.6617647058823529
leave_k_out,8,56,0.6557823129251701
leave_k_out,8,56,0.6451612903225806
leave_k_out,8,56,0.6315104166666666
leave_k_out,8,56,0.5442708333333334
leave_k_out,8,56,0.6503225806451612
leave_k_out,8,56,0.5755208333333333
leave_k_out,8,56,0.6031294452347084
bootstrap,0,64,0.4806201550387597
bootstrap,0,64,0.4740190880169671
bootstrap,0,64,0.42083333333333334
bootstrap,0,64,0.4337221633085896
bootstrap,0,64,0.6676470588235294
bootstrap,0,64,0.6655592469545958
bootstrap,0,64,0.6187134502923977
bootstrap,0,64,0.757843137254902
bootstrap,0,64,0.5273279352226721
bootstrap,0,64,0.634765625
bootstrap,0,64,0.7181818181818181
bootstrap,0,64,0.4595791805094131
bootstrap,0,64,0.5485380116959064
bootstrap,0,64,0.6841025641025641
bootstrap,0,64,0.45196078431372555
bootstrap,0,64,0.6896896896896898
bootstrap,0,64,0.501466275659824
bootstrap,0,64,0.6636636636636637
bootstrap,0,64,0.6254901960784314
bootstrap,0,64,0.5418875927889714
bootstrap,0,64,0.6108374384236452
bootstrap,0,64,0.5815384615384614
bootstrap,0,64,0.6009852216748768
bootstrap,0,64,0.5408866995073891
bootstrap,0,64,0.5248015873015873
bootstrap,0,64,0.38522727272727275
bootstrap,0,64,0.5111336032388665
bootstrap,0,64,0.5169590643274854
bootstrap,0,64,0.4156746031746032
bootstrap,0,64,0.8319838056680162
bootstrap,0,64,0.5317693059628543
bootstrap,0,64,0.4072916666666667
bootstrap,0,64,0.5326688815060908
bootstrap,0,64,0.26979166666666665
bootstrap,0,64,0.3913043478260869
bootstrap,0,64,0.5650048875855327
bootstrap,0,64,0.48977272727272725
bootstrap,0,64,0.5562072336265884
bootstrap,0,64,0.6968749999999999
bootstrap,0,64,0.45937500000000003
bootstrap,0,64,0.5385385385385386
bootstrap,0,64,0.6924603174603174
bootstrap,0,64,0.47077922077922074
bootstrap,0,64,0.58125
bootstrap,0,64,0.641025641025641
bootstrap,0,64,0.7115384615384615
bootstrap,0,64,0.603515625
bootstrap,0,64,0.5385416666666667
bootstrap,0,64,0.3491902834008097
bootstrap,0,64,0.6642857142857143
bootstrap,0,64,0.5394871794871795
bootstrap,0,64,0.5666666666666667
bootstrap,0,64,0.6369047619047619
bootstrap,0,64,0.6850649350649352
bootstrap,0,64,0.5671794871794872
bootstrap,0,64,0.5303030303030304
bootstrap,0,64,0.8593117408906883
bootstrap,0,64,0.5577942735949099
bootstrap,0,64,0.7164502164502164
bootstrap,0,64,0.486328125
bootstrap,0,64,0.5911764705882352
bootstrap,0,64,0.4385382059800665
bootstrap,0,64,0.4274891774891775
bootstrap,0,64,0.3901477832512315
bootstrap,0,64,0.4441025641025641
bootstrap,0,64,0.6596596596596596
bootstrap,0,64,0.6590909090909092
bootstrap,0,64,0.5685685685685686
bootstrap,0,64,0.4253246753246753
bootstrap,0,64,0.522702104097453
bootstrap,0,64,0.5043988269794721
bootstrap,0,64,0.6392961876832844
bootstrap,0,64,0.6904761904761905
bootstrap,0,64,0.51417004048583
bootstrap,0,64,0.4707692307692307
bootstrap,0,64,0.5962301587301587
bootstrap,0,64,0.43229166666666663
bootstrap,0,64,0.7142857142857142
bootstrap,0,64,0.5952380952380952
bootstrap,0,64,0.7658730158730158
bootstrap,0,64,0.5773399014778324
bootstrap,0,64,0.5596059113300492
bootstrap,0,64,0.6904761904761906
bootstrap,0,64,0.5955955955955956
bootstrap,0,64,0.5840080971659919
bootstrap,0,64,0.5505952380952381
bootstrap,0,64,0.514069264069264
bootstrap,0,64,0.6374384236453202
bootstrap,0,64,0.46974358974358976
bootstrap,0,64,0.5445445445445446
bootstrap,0,64,0.5907692307692308
bootstrap,0,64,0.40755208333333337
bootstrap,0,64,0.565982404692082
bootstrap,0,64,0.6551724137931034
bootstrap,0,64,0.5595238095238095
bootstrap,0,64,0.6186274509803922
bootstrap,0,64,0.6616616616616616
bootstrap,0,64,0.46484375
bootstrap,0,64,0.4707792207792208
bootstrap,0,64,0.6599190283400809
bootstrap,0,64,0.7284105131414267
bootstrap,0,64,0.564484126984127
bootstrap,0,64,0.7211822660098522
bootstrap,0,64,0.6654970760233918
bootstrap,0,64,0.5270413573700954
bootstrap,0,64,0.4595791805094131
bootstrap,0,64,0.5607287449392713
bootstrap,0,64,0.4061538461538462
bootstrap,0,64,0.4369230769230769
bootstrap,0,64,0.5487179487179487
bootstrap,0,64,0.6304985337243402
bootstrap,0,64,0.6333333333333333
bootstrap,0,64,0.4970703125
bootstrap,0,64,0.7678571428571429
bootstrap,0,64,0.43333333333333335
bootstrap,0,64,0.5079545454545454
bootstrap,0,64,0.6275659824046921
bootstrap,0,64,0.4364364364364365
bootstrap,0,64,0.5775775775775776
bootstrap,0,64,0.5040935672514619
bootstrap,0,64,0.7728174603174603
bootstrap,0,64,0.5291622481442205
bootstrap,0,64,0.6492610837438424
bootstrap,0,64,0.42712550607287453
bootstrap,0,64,0.5229166666666667
bootstrap,0,64,0.6205128205128205
bootstrap,0,64,0.31510416666666663
bootstrap,0,64,0.7030752916224814
bootstrap,0,64,0.6291666666666667
bootstrap,0,64,0.6142578125
bootstrap,0,64,0.6826171875
bootstrap,0,64,0.7226720647773279
bootstrap,0,64,0.6299045599151643
bootstrap,0,64,0.7156862745098039
bootstrap,0,64,0.61669921875
bootstrap,0,64,0.7330049261083744
bootstrap,0,64,0.5545634920634921
bootstrap,0,64,0.4354354354354354
bootstrap,0,64,0.5935935935935936
bootstrap,0,64,0.5043290043290043
bootstrap,0,64,0.6135416666666667
bootstrap,0,64,0.6373276776246023
bootstrap,0,64,0.5365853658536586
bootstrap,0,64,0.685515873015873
bootstrap,0,64,0.7117948717948718
